code,state,2015TII,2015TI,2014TIV,2014TIII,2014TII,2014TI,2013TIV,2013TIII,2013TII,2013TI,2012TIV,2012TIII,2012TII,2012TI,2011TIV,2011TIII,2011TII,2011TI,2010TIV,2010TIII,2010TII,2010TI,2009TIV,2009TIII,2009TII,2009TI,2008TIV,2008TIII,2008TII,2008TI,2007TIV,2007TIII,2007TII,2007TI,2006TIV,2006TIII,2006TII,2006TI,2005TIV,2005TIII,2005TII,2005TI
41,Sevilla,29.31,32.38,31.41,33.49,32.36,33.85,35.27,34.03,33.45,33.29,32.62,32.63,30.69,30.05,28.37,27.84,25.81,26.51,24.42,26.64,24.47,25.54,25.15,24.11,22.65,22.16,19.72,15.89,14.09,14.13,13.18,12.82,12.89,12.88,12.89,13.04,12.12,13.33,13,14.4,13.07,14.73
42,Soria,15.51,15.52,16.96,17.06,16.4,17.72,16.32,14.67,16.98,18.37,15.87,14.32,14.45,14.67,12.9,11.76,14.04,15.78,13.55,11.08,13.32,11.55,12.24,6.85,10.24,12.63,5.66,4.77,6.58,5.32,4.07,5.28,4.7,4.81,5.67,4.62,5.02,5.56,4.06,4.25,6.43,6.12
43,Tarragona,22.16,23.17,23.12,20.78,23.79,26.16,26.65,25.19,26.76,29.05,25.54,23.43,21.27,23.4,21.86,19.82,18.22,20.04,19.71,18.23,18.14,18.09,17.66,16.16,16.3,18.46,13.74,10.06,9.19,7.25,6.86,5.82,5.96,7.37,6.43,5.8,6.54,6.29,7.42,6.28,7.38,7.47
44,Teruel,18.05,21.59,19.74,19.82,20.9,19.67,19.65,20.86,19.64,18.82,15.7,16.79,16.73,15.74,14.78,13.95,15.26,14,13.39,14.02,10.37,10.7,8.84,9.26,12.15,10.75,7.41,5.11,7.61,5.25,4.43,5,4.01,4.46,2.88,3.81,4.4,3.94,5.54,4.13,4.63,4.65
45,Toledo,28.84,29.13,28.07,27.84,28.93,32.88,31.85,31.83,32.39,32.16,30.69,28.25,28.22,27.89,24.75,22.28,24.81,23.64,23.1,20.69,21.5,21.65,19.55,20.65,21.66,19.62,15.96,11.88,10.65,10.04,7.67,6.47,7.19,7.08,7.42,7.69,7.7,8.97,9.48,8.31,10.34,9.42
46,Valencia,22.05,22.43,22.21,25.88,25.94,27.48,25.43,28.27,29.06,27.88,27.41,27.97,26.18,24.84,23.94,24.5,22.64,23.22,20.9,21.52,22.89,21.5,21.41,21.4,20.75,17.19,13.7,11.83,10.38,9.05,7.85,8.76,7.96,7.4,7.6,8.61,7.54,7.99,7.08,7.85,9.3,10.61
47,Valladolid,16.41,16.28,16.65,15.83,19.89,20.22,22.03,19.15,18.47,20.58,19.73,17.82,18.94,19.05,17.86,17.23,15.95,15.48,14.38,15.05,15.83,15,13.54,11.7,13.12,12.19,9.68,8.75,8.92,8.16,6.82,6.92,7.23,7.27,8,7.53,8.1,8.45,8.12,7.89,9.31,11.06
48,Zamora,22.99,27.83,26.62,26.73,26.3,25.44,25.29,27.04,25.09,27.24,25.41,23.93,22.99,20.53,17.34,17.76,17.66,21.05,16.7,16.72,18.38,16.69,14.43,12.06,16.03,14.3,11.35,10,7.98,8.61,8.43,7.28,8.44,9.44,9.05,8.73,9.71,9.04,10.71,12.01,9.35,8.84
49,Zaragoza,17.13,18.78,18.9,19.13,21.68,23.69,20.93,21.6,23.26,24.27,20.09,20.23,19.95,19.41,17.73,17.36,18.51,19.64,17.52,14.33,15.18,16.18,14.66,12.78,14.06,14.32,10.74,7.09,7.16,6.41,5.34,5.37,5.78,6.3,5.22,5.14,6.17,6.59,5.56,5.2,6.55,6.08
50,Ceuta,24.59,31.76,32.46,31.95,31.4,31.56,36.78,30.96,33.91,37.51,37.17,38.8,37.4,34.71,27.19,31.04,27.02,25.73,24.83,21.98,26.08,22.79,24.01,19.64,15.39,15.49,15.66,17.85,19.48,16.81,20.18,21.2,20.11,22.53,14.44,19.79,23.18,27.49,17.14,17.69,23.09,19.84
51,Melilla,36.35,35.4,29.52,30.49,29.16,24.43,33.79,39.19,27.8,28.85,26.41,29.06,28.59,23.37,24.84,21.99,21.47,21.33,24.46,23.49,23.38,19.76,19.87,23.2,24.93,25.87,16.17,22.69,18.02,22.69,17.43,17.89,21.7,15.67,9.86,12.98,14.65,16.92,12.33,11.82,15.64,17.24
52,Nacional,22.37,23.78,23.7,23.67,24.47,25.93,25.73,25.65,26.06,26.94,25.77,24.79,24.4,24.19,22.56,21.28,20.64,21.08,20.11,19.59,19.89,19.84,18.66,17.75,17.77,17.24,13.79,11.23,10.36,9.6,8.57,8.01,7.93,8.42,8.26,8.08,8.44,9.03,8.71,8.41,9.32,10.17
